Year,Troop Deployment,Police Deploymment,Civdeath_best,Civdeath_low,FactValueNumericHigh
2004,"4,735",140,2510,1417,4182
2005,"6,060",398,2538,1405,4285
2006,"6,894",712,2569,1330,4440
2007,"7,833",1128,2549,1309,4442
2008,"7,830",1089,2595,1345,4477
2009,"7,024",1170,2635,1367,4508
2010,"7,194",1160,2664,1437,4561
2011,"8,974",1269,2671,1414,4578
2012,"9,399",1314,2653,1372,4594
2013,"8,497",1338,2741,1400,4781
2014,"6,906",1332,2789,1410,4902
2015,"5,248",1432,2827,1399,5032
2016,"2,601",701,2856,1427,5091
2017,"1,805",541,2876,1389,5235
